업소명,대표메뉴(가격),주소,전화번호
시카고피자,시카고세트(7000원이상),인천 미추홀구 인하로75-1,-
노브랜드버거,버거세트(4500원이상),인천 미추홀구 인하로81-1,032-873-0508
KFC인하대점,버거세트(4900원이상),인천 미추홀구 인하로77번길8,032-861-9416
레오펍 ,피자한조각(3300원),인천 미추 홀구 인하로77번길 12 1층,0507-1362-0459
밀플랜비,브리또(5000원),인천 미추홀구 인하로77번길 6-19,010-8913-4941
케밥집,케밥(5000원),인천 미추홀구 인하로77번길6-30,070-8755-8407
돼지게티,파스타(15900원),인천 미추홀구 인하로77번길 26,032-874-8003
챕터원스테이크,파스타(8000원),인천 미추홀구 인하로67번길 10 2층,070-8777-6321
미식당,파스타(7700원),인천 미추홀구 인하로67번길 6 1층,0507-1382-6561
파스타앤펍,"피자,파스타(7000원)",인천 미추홀구 경인남기30번길 40 2층,032-872-0222
토핑폭격기 LABS PIZZA,피자,인천 미추홀구 인하로77번길 6-35,032-872-1987
버거크루 ,버거(3500원이상),인천 미추홀구 인하로67번길 5,032-212-7734
러시아식당 바이칼,연어스(테이크(13000원),인천 미추홀구 경인남길30번길 38,-
롤링파스타,파스타(8500원),인천 미추홀구 인하로55-1 2층,032-872-5253
코피아,파스타(7500원),인천 미추홀구 인하로77번길 6-41 1층,0507-1340-2742
파치,파스타(7500원),인천 미추홀구 인하로105번길 5,032-207-8787
루프탑 캔버스,"파스타,샐러드(15000원)",인천 미추홀구 독배로 311 비젼프라자 13층,0507-1354-1016
홍루이젠,샌드위치(2200원이상),인천 미추홀구 소성로16 인하아리스타1층,032-246-5627
선식당,"파스타,샐러드(12900원이상)",인천 미추홀구 용정공원로83번길 49 2층 224호,032-891-8005
빈체로파스타,파스타(8800원이상),인천 미추홀구 소성로16 인하아리스타1층 109호,0507-1379-0988
선데이로스트,베이글(12900원이상),인천 미추홀구 용정공원로 83번길 43 216호,0507-1375-9753
까사올리브,파스타(12000원이상),인천 미추홀구 인하로47번길 5,032-867-0733
수타5900,석쇠불고기피자(17000원이상),인천 미추홀구 인하로105번길 21,032-865-9588
유년기의끝,파스타(12900원이상),인천 미추홀구 인하로105번길 27 지하1층,0507-1482-7887
