업소명,대표메뉴(가격),주소,전화번호
다락,로스돈까스(7000원),인천광역시 미추홀구 인하로 55-1 2층,032-861-3606
허수아비,인하모밀세트(7500원),인천 미추홀구 인하로 61-1,032-862-9523
이치라멘&돈가츠,돈코츠시오라멘(8000원),인천 미추홀구 인하로67번길 5-6,032-874-4874
역전우동0410,옛날우동(4500원),인천 미추홀구 인하로 69-2 102호,032-225-0508
돈까스,로스정식(8000원),인천 미추홀구 인하로 63,032-872-3393
탄포포,히레까스(8000원),인천 미추홀구 인하로67번길 15,032-872-1764
덴세츠라멘,차슈 돈코츠라멘(8000원),인천 미추홀구 인하로67번길 13,032-872-0304
카모메,돈까스정식(8500원),인천 미추홀구 소성로 6,032-763-2080
오하요,가츠동(8000원),인천 미추홀구 경인남길30번길 36,032-872-7779
가메이,김치치즈가쯔동(7500원),인천 미추홀구 경인남길30번길 46,032-866-5891
왕돈까스,냉면+돈까스(7000원),인천광역시 미추홀구 인하로91번길 6,032-864-4477
산쪼메,소유라멘(8000원),인천 미추홀구 경인남길30번길 91,032-876-2584
하나마루,연어롤(13000원),인천 미추홀구 경인남길30번길 61,032-875-3444
고베규카츠,규카츠 정식(19000원),인천 미추홀구 인하로 83 2층,032-862-8625
우마이,규동(8000원),인천 미추홀구 경인남길30번길 94 1층 ,032-873-1023
오월의유부,톡톡날치알(2800원),인천 미추홀구 독배로 311 1층 오월의유부,032-889-6646
가산팔복초밥,팔복유부모둠초밥(24900원),인천 미추홀구 용정공원로 33 SK스카이뷰 상가 A-3동 105호,0507-1301-7907
돈카츠마켙,생등심카츠(3300원),인천 미추홀구 용정공원로 33 a-3동 111호,032-887-8875
무모한 초밥,메가초밥(19900원),인천 미추홀구 독배로 311 105-1호,0507-1430-9881
에바돈가츠,에바우동(5500원),인천 미추홀구 용정공원로83번길 49 인하대역헤리움메트로타워 134호,0507-1442-6263
미락초밥,모듬초밥(16000원),인천 미추홀구 용정공원로83번길 49 2층,032-876-3002
스시만,스시만A(15000원),인천 미추홀구 소성로 16,0507-1344-0429
연돈볼카츠,연돈볼카츠(3000원),인천 미추홀구 소성로 16 인하아리스타 133호,032-244-5470
고미후쿠데판,삼겹살철판볶음밥(8000원),인천 미추홀구 소성로 6,032-763-2080
,,,
