업소명,대표메뉴(가격),주소,전화번호
라쿵푸 마라탕,마라탕,인천 미추홀구 인하로79,032-875-8850
중경 마라탕,마라탕,"인천광역시 미추홀구 경인남길30번길 33, 1층 (용현동)",032-876-4685
신룽푸마라탕,마라탕,인천광역시 미추홀구 인하로77번길 17 (용현동),0507-1314-5188
라향각마라탕,마라탕,"인천광역시 미추홀구 경인남길30번길 48, 2층 (용현동)",032-874-5888
인하각,"짜장,짬뽕",인천광역시 미추홀구 인하로 87-1 (용현동),0507-1320-4293
금산양꼬치,양꼬치,인천광역시 미추홀구 경인남길30번길92,032-868-8838
인하반점,"짜장,짬뽕",인천광역시 미추홀구 인하로 85 (용현동),0507-1475-0072
진화쿵푸마라탕,마라탕,인천 미추홀구 인하로77번길6,032-873-7475
인하성,"짜장,짬뽕","인천광역시 미추홀구 인하로 89 (용현동,지하1층)",0507-1492-8998
이것이짜장전설,"짜장,짬뽕",인천광역시 미추홀구 인하로77번길 33 (용현동),032-861-0660
춘리마라탕,마라탕,인천광역시 미추홀구 인하로77번길 33 (용현동),0507-1393-0141
하이띠라오훠궈구이,훠궈,인천 미추홀구 용정공원로83번길 49,032-710-8525
차오팡,짜장,"인천광역시 미추홀구 용정공원로83번길 49, 인하대역 헤리움 메트로 타워 2층 214, 214-1, 215호 (용현동)",032-888-8898
해연 양꼬치,양꼬치,인천 미추홀구 독배로317번길 23 202호 외 1필지,032-889-7886
금산양꼬치 인하점,양꼬치,인천 미추홀구 독배로 311 305호,032-887-8868
마부마라탕,마라탕,"인천광역시 미추홀구 용정공원로83번길 49, 인하대역 헤리움 메트로 타워 207호 (용현동)",032-888-8850
홍짜장,"짜장,짬뽕","인천광역시 미추홀구 독배로 311, 204호 (용현동, 비젼프라자)",0507-1428-2007
적성루,"짜장,짬뽕","인천광역시 미추홀구 인하로 53 (용현동,(2층))",032-874-8987
한짬뽕,"짜장,짬뽕","인천광역시 미추홀구 소성로 16, 인하아리스타 112,113호 (용현동)",032-872-1492
마라시대마라탕,마라탕,"인천광역시 미추홀구 소성로 16, 1층 108호 (용현동)",032-876-2888
열라반점,"짜장,짬뽕",인천 미추홀구 인하로67번길 6-27,032-876-2213
미연팔복반점,"짜장,짬뽕","인천광역시 미추홀구 인하로105번길 27, 1층 (용현동)",032-271-5678
마시내 나홀로짜장,"짜장,짬뽕",인천 미추홀구 경인남기30번길 43,070-8780-8700
북경 중화요리,"짜장,짬뽕",인천 미추홀구 인하로67번길 6-27,032-876-9391
