업소명,대표메뉴(가격),주소,전화번호
찌개사랑,김치찌개(7000원),인천 미추홀구 인하로 53,032-873-3310
육쌈냉면,물냉면(8500원),인천 미추홀구 인하로 55-1 1층,032-862-6308
촌닭,오븐구이 순살 찜닭(15000원)(2인),인천 미추홀구 경인남길30번길 19,0507-1388-8989
신촌 설렁탕,육회비빔밥(8000원),인천 미추홀구 인하로67번길 3,032-873-3338
마약집,닭도리탕(18000원)(2인),인천 미추홀구 경인남길30번길 100-4,032-867-9511
고수찜닭,찜닭(20000원)(2인),인천 미추홀구 경인남길30번길 34 1층,032-867-9982
종로닭한마리,닭한마리(15000원)(2인),인천 미추홀구 경인남길30번길 83,032-868-1209
내가찜한닭,순살안동찜닭(17000원)(2인),인천 미추홀구 인하로 69-2 2층,032-875-1237
박지혜순대국,순대국(8000원),인천 미추홀구 인하로 89,032-862-4243
청진동해장국,뼈해장국(8000원),인천 미추홀구 인하로91번길 6,032-863-4477
더진국,수육국밥(8000원),인천 미추홀구 경인남길30번길 38,032-201-9882
콩불,콩불(8000원),인천 미추홀구 인하로77번길 6-41,032-867-0989
준호네부대찌개,부대찌개(7500원),인천 미추홀구 경인남길30번길 49,0507-1414-8546
인하칼국수,바지락칼국수(7000원),인천 미추홀구 경인남길30번길 35-1,032-874-4067
동전집,돼지김치구이(8500원),인천 미추홀구 경인남길30번길 48 1층,0507-1476-0706
궁중보쌈,지짐보쌈정식(8000원),인천 미추홀구 경인남길30번길 36 2층,032-861-9933
맛사랑,제육볶음(6500원),인천광역시 미추홀구 인하로77번길 6-26,032-872-5181
동아리닭갈비,철판닭갈비(16000원)(2인),인천 미추홀구 경인남길30번길 71 1층,0507-1346-9980
일미닭갈비,철판닭갈비(14000원)(2인),인천 미추홀구 경인남길30번길 58 2층,032-875-2032
시골집,홍계(7000원),인천 미추홀구 경인남길30번길 45-1,032-872-2867
불판위에 춤추는 갈매기,갈매기(21000원)(2인),인천 미추홀구 인하로67번길 24-24,010-4598-1933
성화해장국,뼈해장국(8000원),인천 미추홀구 인하로105번길 42 1층,0507-1317-4236
우리소참한우,육회비빔밥(8000원),인천 미추홀구 인하로105번길 39,032-875-3666
닭살부부,목삼겹(16000원)(2인),인천 미추홀구 경인남길30번길 95 1층,032-872-7787
킹콩순두부,햄치즈순두부(7500원),인천 미추홀구 경인남길30번길 45-1,032-873-3323
